file_name,SGPA,CGPA
20011614003_1800265372.html,9.14,N/A
20011614003_1800265434.html,8.00,N/A
20011614003_1800265728.html,8.6666666667,N/A
20011614003_1800265846.html,8.92,N/A
20011614005_1800265372.html,6.64,N/A
20011614005_1800265434.html,8.15,N/A
20011614005_1800265728.html,8.4666666667,N/A
20011614005_1800265846.html,8.42,N/A
20011614006_1800265372.html,8.43,N/A
20011614006_1800265434.html,7.92,N/A
20011614006_1800265728.html,8.1333333333,N/A
20011614006_1800265846.html,8.42,N/A
20011614007_1800265372.html,8.50,N/A
20011614007_1800265434.html,7.54,N/A
20011614007_1800265728.html,8.6666666667,N/A
20011614007_1800265846.html,8.33,N/A
20011614010_1800265372.html,8.71,N/A
20011614010_1800265434.html,8.15,N/A
20011614010_1800265728.html,8.8666666667,N/A
20011614010_1800265846.html,9.17,N/A
20011614011_1800265372.html,9.21,N/A
20011614011_1800265434.html,8.00,N/A
20011614011_1800265728.html,8.4666666667,N/A
20011614011_1800265846.html,8.83,N/A
20011614012_1800265372.html,8.71,N/A
20011614012_1800265434.html,7.85,N/A
20011614012_1800265728.html,8.5333333333,N/A
20011614012_1800265846.html,8.75,N/A
20011614013_1800265372.html,8.29,N/A
20011614013_1800265434.html,7.85,N/A
20011614013_1800265728.html,8.3333333333,N/A
20011614013_1800265846.html,8.58,N/A
20011614015_1800265372.html,8.07,N/A
20011614015_1800265434.html,7.46,N/A
20011614015_1800265728.html,8.1333333333,N/A
20011614015_1800265846.html,8.25,N/A
20011614016_1800265372.html,8.14,N/A
20011614016_1800265434.html,7.46,N/A
20011614016_1800265728.html,8.2666666667,N/A
20011614016_1800265846.html,8.08,N/A
20011614017_1800265372.html,8.29,N/A
20011614017_1800265434.html,7.62,N/A
20011614017_1800265728.html,8.3333333333,N/A
20011614017_1800265846.html,7.83,N/A
20011614019_1800265372.html,8.07,N/A
20011614019_1800265434.html,6.92,N/A
20011614019_1800265728.html,8.4666666667,N/A
20011614019_1800265846.html,8.17,N/A
20011614022_1800265372.html,8.93,N/A
20011614022_1800265434.html,7.62,N/A
20011614022_1800265728.html,8.4666666667,N/A
20011614022_1800265846.html,8.67,N/A
20011614023_1800265372.html,8.14,N/A
