,0,1,2
0,22013314092_1800265734.html,6.97 , 
1,21011614006_1800265370.html,8.28 , 
2,22022214002_1800265844.html,6.31 , 
3,21023114003_1800265434.html,8.31 , 
4,20013314021_1800265433.html,R , 
5,21012314040_1800265843.html,7.43 , 
6,21012714021_1800265370.html,3.41 , 
7,22013514061_1800265735.html,6.72 , 
8,21013214032_1800265735.html,7.5862068966 , 
9,20013014040_1800265434.html,6.92 , 
10,21012114056_1800265431.html,R , 
11,21012314010_1800265431.html,7.76 , 
12,20013014026_1800265845.html,6.73 , 
13,20012114065_1800265846.html,9.08 , 
14,21013414054_1800265735.html,7.1724137931 , 
15,22013114026_1800265842.html,4.50 , 
16,20012514055_1800265727.html,R , 
17,22013014019_1800265734.html,6.97 , 
18,20012114016_1800265372.html,1.71 , 
19,21012114099_1800265726.html,7.7142857143 , 
20,21013114082_1800265432.html,7.08 , 
21,22012114019_1800265842.html,8.00 , 
22,21011814029_1800265432.html,8.17 , 
23,21011715017_1800265849.html,8.05 ,8.35 
24,20011614019_1800265728.html,8.4666666667 , 
25,21012614028_1800265432.html,8.50 , 
26,22012114019_1800265735.html,8.00 , 
27,21012114073_1800265734.html,6.90 , 
28,22012114008_1800265735.html,R , 
29,23013414011_1800265840.html,8.03 , 
30,21011614042_1800265370.html,8.48 , 
31,20012614009_1800265434.html,6.69 , 
32,20012114044_1800265728.html,8.1333333333 , 
33,20013114087_1800265728.html,6.9333333333 , 
34,21013414038_1800265370.html,7.66 , 
35,20012914017_1800265372.html,6.79 , 
36,20012014041_1800265846.html,8.75 , 
37,21013514004_1800265844.html,1.77 , 
38,20013114009_1800265728.html,6.8666666667 , 
39,21013014006_1800265844.html,1.77 , 
40,21023614012_1800265434.html,R , 
41,21012514030_1800265370.html,2.52 , 
42,20012914047_1800265846.html,8.42 , 
43,20013114096_1800265434.html,7.92 , 
44,20012314040_1800265728.html,8.6 , 
45,21012014003_1800265369.html,6.24 , 
46,20011814059_1800265728.html,7.7333333333 , 
47,20013614021_1800265372.html,9.14 , 
48,23011614048_1800265840.html,8.24 , 
49,23022414002_1800265842.html,7.42 , 
50,21013014060_1800265431.html,7.07 , 
51,20012714008_1800265846.html,7.50 , 
52,22012314057_1800265842.html,4.08 , 
53,22011914066_1800265735.html,R , 
54,21013414029_1800265370.html,5.41 , 
55,21012214032_1800265432.html,R , 
56,22012914012_1800265842.html,5.83 , 
57,22013114005_1800265430.html,R , 
58,20013314045_1800265728.html,7.2 , 
59,21011715026_1800265707.html,7.14 ,5.65 
60,23012514021_1800265840.html,3.20 , 
61,20012314063_1800265846.html,8.25 , 
62,22021614007_1800265844.html,8.23 , 
63,20012214033_1800265843.html,6.86 , 
64,21012614021_1800265726.html,7.5714285714 , 
65,22013314033_1800265842.html,7.92 , 
66,22012914056_1800265430.html,6.90 , 
67,23012914024_1800265840.html,3.93 , 
68,21012114018_1800265370.html,6.48 , 
69,21012114018_1800265432.html,8.17 , 
70,21012414018_1800265369.html,4.07 , 
71,20012114024_1800265434.html,R , 
72,21012314060_1800265726.html,8.2857142857 , 
73,21013514024_1800265370.html,3.34 , 
74,20013214002_1800265434.html,R , 
75,21012114055_1800265726.html,R , 
76,20012414001_1800265725.html,R , 
77,23013114111_1800265840.html,5.45 , 
78,20013114020_1800265846.html,8.50 , 
79,20012014061_1800265846.html,7.83 , 
80,21011814050_1800265432.html,7.92 , 
81,22012414058_1800265430.html,R , 
82,21012214061_1800265432.html,6.92 , 
83,22012114087_1800265735.html,R , 
84,21012214030_1800265369.html,8.00 , 
85,22012714017_1800265735.html,8.48 , 
86,21013314020_1800265735.html,R , 
87,22012914068_1800265430.html,7.93 , 
88,22012714003_1800265735.html,7.24 , 
89,21013514005_1800265726.html,R , 
90,20013214045_1800265846.html,6.75 , 
91,22013614049_1800265735.html,R , 
92,22012714058_1800265430.html,8.40 , 
93,20012914046_1800265844.html,7.31 , 
94,21013214002_1800265370.html,6.00 , 
95,22011614067_1800265430.html,8.00 , 
96,21013114022_1800265370.html,8.52 , 
97,20013214027_1800265846.html,7.50 , 
98,21023314002_1800265728.html,7.9333333333 , 
99,21012114093_1800265843.html,7.21 , 
100,21013114075_1800265370.html,7.83 , 
101,21013314051_1800265370.html,7.62 , 
102,22013414028_1800265430.html,7.45 , 
103,22012814049_1800265735.html,8.7586206897 , 
104,22012214051_1800265734.html,7 , 
105,21013314063_1800265735.html,R , 
106,22013314098_1800265841.html,5.93 , 
107,21013614015_1800265844.html,6.46 , 
108,20013614038_1800265727.html,R , 
109,20011914033_1800265433.html,6.86 , 
110,20013114112_1800265434.html,7.62 , 
111,22013314062_1800265842.html,7.58 , 
112,21011914030_1800265735.html,7.2413793103 , 
113,21013014004_1800265432.html,8.67 , 
114,20012714053_1800265845.html,5.93 , 
115,20011914046_1800265728.html,8 , 
116,23011614010_1800265840.html,8.24 , 
117,21013214024_1800265431.html,6.79 , 
118,22023414003_1800265432.html,7.83 , 
119,21012514052_1800265431.html,8.00 , 
