
filename,sgpa,cgpa 
22013314092_1800265734.html,6.97 , 
21011614006_1800265370.html,8.28 , 
22022214002_1800265844.html,6.31 , 
21023114003_1800265434.html,8.31 , 
20013314021_1800265433.html,R , 
21012314040_1800265843.html,7.43 , 
21012714021_1800265370.html,3.41 , 
22013514061_1800265735.html,6.72 , 
21013214032_1800265735.html,7.5862068966 , 
20013014040_1800265434.html,6.92 , 
21012114056_1800265431.html,R , 
21012314010_1800265431.html,7.76 , 
20013014026_1800265845.html,6.73 , 
20012114065_1800265846.html,9.08 , 
21013414054_1800265735.html,7.1724137931 , 
22013114026_1800265842.html,4.50 , 
20012514055_1800265727.html,R , 
22013014019_1800265734.html,6.97 , 
20012114016_1800265372.html,1.71 , 
21012114099_1800265726.html,7.7142857143 , 
21013114082_1800265432.html,7.08 , 
22012114019_1800265842.html,8.00 , 
21011814029_1800265432.html,8.17 , 
21011715017_1800265849.html,8.05 ,8.35 
20011614019_1800265728.html,8.4666666667 , 
21012614028_1800265432.html,8.50 , 
22012114019_1800265735.html,8.00 , 
21012114073_1800265734.html,6.90 , 
22012114008_1800265735.html,R , 
23013414011_1800265840.html,8.03 , 
21011614042_1800265370.html,8.48 , 
20012614009_1800265434.html,6.69 , 
20012114044_1800265728.html,8.1333333333 , 
20013114087_1800265728.html,6.9333333333 , 
21013414038_1800265370.html,7.66 , 
20012914017_1800265372.html,6.79 , 
20012014041_1800265846.html,8.75 , 
21013514004_1800265844.html,1.77 , 
20013114009_1800265728.html,6.8666666667 , 
21013014006_1800265844.html,1.77 , 
21023614012_1800265434.html,R , 
21012514030_1800265370.html,2.52 , 
20012914047_1800265846.html,8.42 , 
20013114096_1800265434.html,7.92 , 
20012314040_1800265728.html,8.6 , 
21012014003_1800265369.html,6.24 , 
20011814059_1800265728.html,7.7333333333 , 
20013614021_1800265372.html,9.14 , 
23011614048_1800265840.html,8.24 , 
23022414002_1800265842.html,7.42 , 
21013014060_1800265431.html,7.07 , 
20012714008_1800265846.html,7.50 , 
22012314057_1800265842.html,4.08 , 
22011914066_1800265735.html,R , 
21013414029_1800265370.html,5.41 , 
21012214032_1800265432.html,R , 
22012914012_1800265842.html,5.83 , 
22013114005_1800265430.html,R , 
20013314045_1800265728.html,7.2 , 
21011715026_1800265707.html,7.14 ,5.65 
23012514021_1800265840.html,3.20 , 
20012314063_1800265846.html,8.25 , 
22021614007_1800265844.html,8.23 , 
20012214033_1800265843.html,6.86 , 
21012614021_1800265726.html,7.5714285714 , 
22013314033_1800265842.html,7.92 , 
22012914056_1800265430.html,6.90 , 
23012914024_1800265840.html,3.93 , 
21012114018_1800265370.html,6.48 , 
21012114018_1800265432.html,8.17 , 
21012414018_1800265369.html,4.07 , 
20012114024_1800265434.html,R , 
21012314060_1800265726.html,8.2857142857 , 
21013514024_1800265370.html,3.34 , 
20013214002_1800265434.html,R , 
21012114055_1800265726.html,R , 
20012414001_1800265725.html,R , 
23013114111_1800265840.html,5.45 , 
20013114020_1800265846.html,8.50 , 
20012014061_1800265846.html,7.83 , 
21011814050_1800265432.html,7.92 , 
22012414058_1800265430.html,R , 
21012214061_1800265432.html,6.92 , 
22012114087_1800265735.html,R , 
21012214030_1800265369.html,8.00 , 
22012714017_1800265735.html,8.48 , 
21013314020_1800265735.html,R , 
22012914068_1800265430.html,7.93 , 
22012714003_1800265735.html,7.24 , 
21013514005_1800265726.html,R , 
20013214045_1800265846.html,6.75 , 
22013614049_1800265735.html,R , 
22012714058_1800265430.html,8.40 , 
20012914046_1800265844.html,7.31 , 
21013214002_1800265370.html,6.00 , 
22011614067_1800265430.html,8.00 , 
21013114022_1800265370.html,8.52 , 
20013214027_1800265846.html,7.50 , 
21023314002_1800265728.html,7.9333333333 , 
21012114093_1800265843.html,7.21 , 
21013114075_1800265370.html,7.83 , 
21013314051_1800265370.html,7.62 , 
22013414028_1800265430.html,7.45 , 
22012814049_1800265735.html,8.7586206897 , 
22012214051_1800265734.html,7 , 
21013314063_1800265735.html,R , 
22013314098_1800265841.html,5.93 , 
21013614015_1800265844.html,6.46 , 
20013614038_1800265727.html,R , 
20011914033_1800265433.html,6.86 , 
20013114112_1800265434.html,7.62 , 
22013314062_1800265842.html,7.58 , 
21011914030_1800265735.html,7.2413793103 , 
21013014004_1800265432.html,8.67 , 
20012714053_1800265845.html,5.93 , 
20011914046_1800265728.html,8 , 
23011614010_1800265840.html,8.24 , 
21013214024_1800265431.html,6.79 , 
22023414003_1800265432.html,7.83 , 
21012514052_1800265431.html,8.00 , 
21012714004_1800265842.html,5.83 , 
23012014059_1800265840.html,5.13 , 
20012414040_1800265846.html,8.00 , 
22012614041_1800265734.html,7.03 , 
23013314053_1800265840.html,6.97 , 
21012714011_1800265843.html,6.14 , 
22012114031_1800265734.html,7.24 , 
21012914014_1800265844.html,7.85 , 
21021914001_1800265434.html,R , 
20012214024_1800265846.html,4.83 , 
21012114015_1800265726.html,9.2142857143 , 
20012114058_1800265728.html,8.1333333333 , 
21011814036_1800265431.html,7.31 , 
20013414010_1800265727.html,R , 
20013214014_1800265372.html,4.86 , 
20013514007_1800265846.html,2.67 , 
20013314027_1800265372.html,3.43 , 
21011715006_1800265221.html,4.90 ,4.90 
21011814039_1800265844.html,8.54 , 
20013214003_1800265371.html,4.50 , 
20013314043_1800265728.html,R , 
21013314007_1800265431.html,7.07 , 
20012914011_1800265728.html,8.9333333333 , 
20011914036_1800265846.html,8.33 , 
22013014041_1800265841.html,7.07 , 
21011914007_1800265370.html,8.69 , 
22011914031_1800265430.html,7.41 , 
21013014022_1800265726.html,R , 
21012614010_1800265843.html,6.71 , 
20012114066_1800265434.html,7.23 , 
20013114037_1800265434.html,R , 
23013014031_1800265840.html,8.17 , 
22012114075_1800265430.html,7.93 , 
21012314054_1800265370.html,6.90 , 
21012814056_1800265844.html,7.23 , 
20012314005_1800265434.html,8.62 , 
22012614033_1800265735.html,8.8965517241 , 
20013514004_1800265844.html,6.85 , 
22012414043_1800265734.html,6.93 , 
22012814017_1800265430.html,7.48 , 
21012914027_1800265735.html,6.7931034483 , 
20012314007_1800265728.html,8.6 , 
21011914047_1800265370.html,7.55 , 
20013014013_1800265846.html,6.58 , 
21013214024_1800265432.html,6.58 , 
21012514030_1800265430.html,R , 
20012814041_1800265846.html,5.92 , 
21013314021_1800265370.html,7.31 , 
22012614063_1800265430.html,7.50 , 
23011914024_1800265840.html,6.10 , 
23013614044_1800265840.html,4.72 , 
21012214061_1800265726.html,6.5714285714 , 
21013514002_1800265726.html,R , 
22013314080_1800265430.html,8.21 , 
22012314021_1800265734.html,7.57 , 
21012414014_1800265735.html,R , 
23012314056_1800265840.html,7.47 , 
20012514065_1800265432.html,R , 
21012114046_1800265726.html,8.7142857143 , 
22013614005_1800265734.html,7.1 , 
22011814026_1800265842.html,8.08 , 
20013114034_1800265434.html,7.46 , 
21012514039_1800265844.html,5.31 , 
20012114062_1800265844.html,6.54 , 
23013114047_1800265840.html,7.90 , 
20012614002_1800265727.html,R , 
20013414010_1800265372.html,4.29 , 
22012214060_1800265430.html,R , 
22011614027_1800265841.html,5.45 , 
20012514017_1800265433.html,R , 
21011914010_1800265844.html,6.62 , 
22013314068_1800265841.html,8.62 , 
23012814017_1800265840.html,3.13 , 
20012814044_1800265728.html,7.3333333333 , 
22023114003_1800265844.html,7.31 , 
20013114022_1800265846.html,8.00 , 
22013114006_1800265841.html,5.10 , 
22011814040_1800265842.html,8.25 , 
21013114061_1800265844.html,5.92 , 
22012414024_1800265735.html,8.8965517241 , 
20012214047_1800265846.html,7.67 , 
20012314006_1800265845.html,6.00 , 
20012414030_1800265434.html,7.85 , 
21012714060_1800265843.html,6.00 , 
20012814039_1800265843.html,4.00 , 
22013114049_1800265430.html,7.28 , 
20013014002_1800265433.html,R , 
22011914028_1800265734.html,6.79 , 
20011814048_1800265846.html,8.67 , 
22011614047_1800265430.html,7.07 , 
23012414042_1800265840.html,6.52 , 
23013014026_1800265840.html,7.13 , 
22012114035_1800265735.html,8.66 , 
