file_name,cgpa,scgpa
btech/found/20010505051_1800265219.html,6.08,4.50
btech/found/22021301015_1800265932.html,2.62,1.17
btech/found/20010505008_1800265904.html,6.12,5.11
btech/found/21010905010_1800265773.html,2.64,2.46
btech/found/20010305006_1800265905.html,7.96,8.00
btech/found/21010501036_1800265329.html,"Result ME-101 ,CS-101 ,ME-102,",4.13
btech/found/21010501024_1800265498.html,5.06,4.21
btech/found/22020305006_1800265773.html,8.19,8.15
btech/found/22010401017_1800265786.html,6.63,6.63
btech/found/22010603048_1800265587.html,"Result ME-101 ,",6.04
btech/found/22010305028_1800265899.html,4.38,4.38
btech/found/20010101051_1800265267.html,"Result CE-401 , CE-402 ,CE-403 ,",5.80
btech/found/20010204002_1800265817.html,5.67,4.58
btech/found/21021101009_1800265469.html,5.41,4.04
btech/found/20011303004_1800266010.html,6.48979591836735,4.76923076923077
btech/found/20010101028_1800265934.html,7.08,6.22
btech/found/20010305052_1800265275.html,Result PASS,7.44
btech/found/21010505037_1800265903.html,7.35,8.07
btech/found/22010305055_1800265901.html,2.36,0.88
btech/found/21020901004_1800265934.html,8.19,8.74
btech/found/22010501018_1800265928.html,3.50,3.50
btech/found/21010901006_1800265291.html,"Result MA-202, EE-101 ,",5.04
btech/found/22021101006_1800265813.html,2.94,1.23
btech/found/22010103004_1800265783.html,3.44,3.88
btech/found/20010205007_1800265904.html,6.01,3.74
btech/found/21020301006_1800265267.html,Result PASS,7.00
btech/found/20010101060_1800265934.html,8.01,8.65
btech/found/21010107003_1800265771.html,1.6,1.33
btech/found/21021303010_1800265590.html,"Result CS-401 , CS-402 ,CS-404 ,",5.56
btech/found/21010401003_1800265291.html,"Result CH-101 ,EE-101 ,EC-101 ,",2.58
btech/found/20010301033_1800265814.html,5.84,3.74
btech/found/22010505036_1800265771.html,6.29,6.5
btech/found/23021503003_1800266009.html,5.38461538461539,5.38461538461539
btech/found/23010101019_1800265991.html,4.43,4.43
btech/found/21021003009_1800265590.html,Result PASS,8.02
btech/found/21010101052_1800265468.html,Result PASS,7.96
btech/found/22010905003_1800265771.html,5.54,5.08
btech/found/22020905020_1800265902.html,5.62,5.85
btech/found/20010203043_1800265284.html,Result PASS,7.69
btech/found/21010401035_1800265788.html,5.70,4.19
btech/found/23010102053_1800266016.html,"Result PHY-111, HS-111, EE-111 ,MA-111 ,EVS-111 ,",1.48
btech/found/21010305015_1800265548.html,5.17,5.17
btech/found/20010205028_1800265775.html,7.97,7.04
btech/found/21010101055_1800265932.html,5.42,5.17
btech/found/21011303003_1800265759.html,"Result MA-301 ,HS-305, CS-302 ,EC-302 ,CS-303,",5.07
btech/found/21020205012_1800265275.html,Result PASS,7.69
btech/found/21010505044_1800265548.html,4.79,4.79
btech/found/20010505015_1800265532.html,5.10,4.11
btech/found/20010505018_1800265775.html,5.17,1.48
btech/found/21011203016_1800266008.html,7.7027027027027,7.92307692307692
btech/found/21020204010_1800265518.html,6.09,6.00
btech/found/23010203026_1800266016.html,"Result EE-111 ,MA-111 ,",4.43
btech/found/21010203048_1800265760.html,"Result MA-401 ,CS-401 , CS-402 ,CS-404 ,EC-402,",2.21
btech/found/21010401019_1800265930.html,4.95,4.04
btech/found/21011203025_1800265759.html,"Result MA-301 ,CS-302 ,EC-302 ,",4.30
btech/found/22010603071_1800266006.html,4.00,4.00
btech/found/22010501059_1800265928.html,4.21,4.21
btech/found/22011303052_1800265758.html,Result PASS,6.54
btech/found/22010101067_1800265786.html,6.83,6.83
btech/found/21020505001_1800265775.html,6.52,4.81
btech/found/22010204017_1800265516.html,4.33,4.33
btech/found/21010501010_1800265291.html,"Result HS-201, MA-202, CH-101 ,EE-101 ,EC-101 ,ME-103,HS-103 ,",1.27
btech/found/22020205007_1800265531.html,7.19,7.19
btech/found/22020903007_1800266011.html,6.52702702702703,6.23076923076923
btech/found/20010501025_1800265932.html,6.28,5.54
btech/found/20010603007_1800265591.html,Result PASS,7.98
btech/found/20010505015_1800265905.html,5.68,6.60
btech/found/21010104013_1800265292.html,"Result EE-101 ,",6.98
btech/found/20010104020_1800265340.html,"Result MA-301 ,EC-304,",6.58
btech/found/21010101049_1800265813.html,5.99,5.25
btech/found/21020301001_1800265469.html,7.18,6.27
btech/found/21010603008_1800265760.html,"Result MA-401 ,CS-401 ,",5.77
btech/found/21010107004_1800265770.html,6.00,6.00
btech/found/20010205010_1800265775.html,7.06,7.11
btech/found/20010301040_1800265790.html,7.08,5.58
btech/found/21021005005_1800265532.html,6.64,7.48
btech/found/20010301049_1800265499.html,7.58,7.00
btech/found/21010305036_1800265773.html,8.07,8.23
btech/found/22010501013_1800265812.html,6.98,7.42
btech/found/22021301001_1800265932.html,3.27,1.75
btech/found/20010505012_1800265775.html,5.21,1.96
btech/found/22011403019_1800266006.html,5.42,5.42
btech/found/21020903013_1800265591.html,Result PASS,6.49
btech/found/23010603012_1800266016.html,"Result PHY-111, EE-111 ,MA-111 ,",3.35
btech/found/22010103023_1800266005.html,4.86,5.16
btech/found/23021003006_1800266009.html,7.20833333333333,7.20833333333333
btech/found/21010505059_1800265903.html,4.26,4.15
btech/found/21021001013_1800265499.html,5.96,5.96
btech/found/22011401007_1800265812.html,4.46,4.46
btech/found/23020905009_1800265901.html,4.67,4.67
btech/found/22010401009_1800265930.html,5.78,5.88
btech/found/20010301054_1800265267.html,"Result CE-401 , CE-402 ,",6.58
btech/found/21010107015_1800265919.html,0.95,1.28
btech/found/21010101017_1800265932.html,5.85,4.50
btech/found/21021001013_1800265932.html,4.45,2.54
btech/found/21010603038_1800265760.html,"Result HS-410(EL) ,",7.91
btech/found/21010203032_1800266011.html,8.36885245901639,8.625
btech/found/22010304063_1800265516.html,5.00,5.00
btech/found/20011503002_1800265284.html,"Result CS-401 , CS-404 ,HS-410(EL) ,",5.03
btech/found/20010401061_1800265469.html,7.43,7.38
btech/found/20010104029_1800265988.html,7.75,7.91
btech/found/22010304073_1800265984.html,5.47,5.12
btech/found/22010101017_1800265812.html,1.98,1.88
btech/found/21020205001_1800265905.html,7.69,8.20
btech/found/20010304037_1800265985.html,5.44,3.25
btech/found/20010501045_1800265469.html,8.46,8.23
btech/found/21010205014_1800265903.html,4.53,5.52
btech/found/22010501026_1800265930.html,1.35,1.12
btech/found/22020401029_1800265813.html,8.48,8.71
btech/found/21010107017_1800265914.html,4.13,4.13
btech/found/20011103013_1800265284.html,"Result CS-401 , CS-402 ,CS-404 ,HS-410(EL) ,",5.92
btech/found/20010104028_1800265600.html,7.28,5.75
btech/found/21021101001_1800265932.html,5.21,4.19
btech/found/21010603024_1800266010.html,5.76530612244898,6.46153846153846
btech/found/21010305043_1800265531.html,7.58,7.38
btech/found/21010101026_1800265928.html,3.46,3.46
btech/found/21010603033_1800265299.html,"Result HS-201, MA-202, CH-101 ,EE-101 ,ME-103,",3.00
btech/found/20010505012_1800265532.html,5.80,3.78
btech/found/20010305038_1800265219.html,7.82,7.92
btech/found/20010603050_1800265243.html,7.92,8.19
btech/found/21010301043_1800265498.html,6.50,6.21
btech/found/22020501003_1800265932.html,7.36,6.77
btech/found/23010304072_1800265989.html,7.22,7.22
btech/found/20010505002_1800265550.html,7.00,6.92
btech/found/21010205002_1800265770.html,4.83,4.83
btech/found/21010101037_1800265813.html,6.31,6.38
btech/found/20010603023_1800265591.html,Result PASS,8.19
btech/found/21011003006_1800265587.html,"Result MA-101, ME-101 ,",5.42
btech/found/20010603009_1800266013.html,8.09195402298851,8.1304347826087
btech/found/22010305044_1800265771.html,3.13,3.42
btech/found/20011503013_1800265591.html,Result PASS,8.31
btech/found/21010301056_1800265291.html,Result PASS,7.04
btech/found/20010203045_1800265759.html,"Result MA-301 ,",7.03
btech/found/22011203013_1800266009.html,6.68918918918919,5.65384615384615
btech/found/21011303017_1800265589.html,Result PASS,7.93
btech/found/22011003012_1800265757.html,"Result PH-101 ,ME-101 ,CS-101 ,",4.33
btech/found/21010505041_1800265531.html,7.42,7.81
btech/found/20010301025_1800265267.html,"Result CE-402 ,",7.35
btech/found/20010305042_1800265905.html,7.90,7.95
btech/found/20010203010_1800265590.html,Result PASS,6.73
